Primary Key,Ancient Toponym,ModernToponym,Province,Country,,,,,Longitude (X),Latitude (Y),,,,,,,,,,,,,,,,,,
Hanson2016_1,Abae,Kalapodi,Achaea,Greece,,,,,22.933333,38.583333,,,,,,,,,,,,,,,,,,
Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,,,,,23.734088,38.083473,,,,,,,,,,,,,,,,,,
Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,,,,,23.219702,38.452606,,,,,,,,,,,,,,,,,,
Hanson2016_4,Aegina,Aigina,Achaea,Greece,,,,,23.4285,37.750074,,,,,,,,,,,,,,,,,,
Hanson2016_5,Aegira,Aigeira,Achaea,Greece,,,,,22.35572,38.147951,,,,,,,,,,,,,,,,,,
Hanson2016_6,Aegium,Aigio,Achaea,Greece,,,,,22.081952,38.252707,,,,,,,,,,,,,,,,,,
Hanson2016_7,Ambracia,Arta,Achaea,Greece,,,,,20.987,39.158,,,,,,,,,,,,,,,,,,
Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,,,,,22.378406,38.527328,,,,,,,,,,,,,,,,,,
Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,,,,,23.461481,38.497543,,,,,,,,,,,,,,,,,,
Hanson2016_10,Anticyra,Palatia,Achaea,Greece,,,,,22.632895,38.377588,,,,,,,,,,,,,,,,,,
Hanson2016_11,Antigonia,Gjirokaster,Achaea,Albania,,,,,20.221111,40.105278,,,,,,,,,,,,,,,,,,
Hanson2016_12,Argos (Achaea) (1),Loutron,Achaea,Greece,,,,,21.25,38.75,,,,,,,,,,,,,,,,,,
Hanson2016_13,Argos (Achaea) (2),Argos,Achaea,Greece,,,,,22.719769,37.631278,,,,,,,,,,,,,,,,,,
Hanson2016_14,Athenae,Athens,Achaea,Greece,,,,,23.726559,37.971119,,,,,,,,,,,,,,,,,,
Hanson2016_15,Atrax,Palaiokastro,Achaea,Greece,,,,,22.199557,39.571253,,,,,,,,,,,,,,,,,,
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,,,,,20.020617,39.745701,,,,,,,,,,,,,,,,,,
Hanson2016_17,Calydon,Kalydon,Achaea,Greece,,,,,21.532778,38.378056,,,,,,,,,,,,,,,,,,
Hanson2016_18,Carthaea,Unknown,Achaea,Greece,,,,,24.314228,37.542346,,,,,,,,,,,,,,,,,,
Hanson2016_19,Cassope,Kamarina,Achaea,Greece,,,,,20.675916,39.145016,,,,,,,,,,,,,,,,,,
Hanson2016_20,Chaeronea,Khaironia,Achaea,Greece,,,,,22.844532,38.494687,,,,,,,,,,,,,,,,,,
Hanson2016_21,Chalcis,Chalkis,Achaea,Greece,,,,,23.643172,38.549423,,,,,,,,,,,,,,,,,,
Hanson2016_22,Cierium,Mataránga,Achaea,Greece,,,,,22.075455,39.361088,,,,,,,,,,,,,,,,,,
Hanson2016_23,Cirrha,Xeropigadi,Achaea,Greece,,,,,22.450621,38.428937,,,,,,,,,,,,,,,,,,
Hanson2016_24,Cleitor,Kato Klitoria,Achaea,Greece,,,,,22.044647,37.885611,,,,,,,,,,,,,,,,,,
Hanson2016_25,Corcyra,Analipsi,Achaea,Greece,,,,,19.91558,39.606285,,,,,,,,,,,,,,,,,,
Hanson2016_26,Corinthia,Corinth,Achaea,Greece,,,,,22.879795,37.906321,,,,,,,,,,,,,,,,,,
Hanson2016_27,Coronea,Agios Georgios,Achaea,Greece,,,,,22.957112,38.391204,,,,,,,,,,,,,,,,,,
Hanson2016_28,Delos,Delos,Achaea,Greece,,,,,25.267249,37.398611,,,,,,,,,,,,,,,,,,
Hanson2016_29,Delphi,Delphi,Achaea,Greece,,,,,22.5,38.483333,,,,,,,,,,,,,,,,,,
Hanson2016_30,Demetrias,Volos,Achaea,Greece,,,,,22.922339,39.343875,,,,,,,,,,,,,,,,,,
Hanson2016_31,Dodona,Dodona,Achaea,Greece,,,,,20.787767,39.546432,,,,,,,,,,,,,,,,,,
Hanson2016_32,Dyme,Kato Achaia,Achaea,Greece,,,,,21.551426,38.144625,,,,,,,,,,,,,,,,,,
Hanson2016_33,Elateia,Lefta,Achaea,Greece,,,,,22.764982,38.62635,,,,,,,,,,,,,,,,,,
Hanson2016_34,Eleusis,Elefsina,Achaea,Greece,,,,,23.542112,38.04325,,,,,,,,,,,,,,,,,,
Hanson2016_35,Elis,Ilida,Achaea,Greece,,,,,21.435443,37.827452,,,,,,,,,,,,,,,,,,
Hanson2016_36,Epidaurus,Palaia Epidauros,Achaea,Greece,,,,,23.132244,37.626573,,,,,,,,,,,,,,,,,,
Hanson2016_37,Eretria,Eretria,Achaea,Greece,,,,,23.793099,38.393743,,,,,,,,,,,,,,,,,,
Hanson2016_38,Euonymon,Unknown,Achaea,Greece,,,,,23.737382,37.916867,,,,,,,,,,,,,,,,,,
Hanson2016_39,Gonnus,Gonnoussa,Achaea,Greece,,,,,22.476241,39.860939,,,,,,,,,,,,,,,,,,
Hanson2016_40,Gythium,Gytheio,Achaea,Greece,,,,,22.562341,36.763663,,,,,,,,,,,,,,,,,,
Hanson2016_41,Hadrianopolis (Achaea),Jergucati,Achaea,Albania,,,,,20.22466,39.996236,,,,,,,,,,,,,,,,,,
Hanson2016_42,Halae,Unknown,Achaea,Greece,,,,,23.193751,38.653765,,,,,,,,,,,,,,,,,,
Hanson2016_43,Halus,Othrys,Achaea,Greece,,,,,22.821215,39.142418,,,,,,,,,,,,,,,,,,
Hanson2016_44,Hephaestia,Unknown,Achaea,Greece,,,,,25.324204,39.95907,,,,,,,,,,,,,,,,,,
Hanson2016_45,Heraclea (Achaea),Unknown,Achaea,Greece,,,,,22.447577,38.792037,,,,,,,,,,,,,,,,,,
Hanson2016_46,Hyampolis,Bogdanou,Achaea,Greece,,,,,22.918763,38.594681,,,,,,,,,,,,,,,,,,
Hanson2016_47,Ioulis,Unknown,Achaea,Greece,,,,,24.34625,37.633122,,,,,,,,,,,,,,,,,,
Hanson2016_48,Larisa (Achaea),Unknown,Achaea,Greece,,,,,22.415092,39.640328,,,,,,,,,,,,,,,,,,
Hanson2016_49,Lebadea,Livadhia,Achaea,Greece,,,,,22.866667,38.433333,,,,,,,,,,,,,,,,,,
Hanson2016_50,Leucas,Neritus,Achaea,Greece,,,,,20.713116,38.807342,,,,,,,,,,,,,,,,,,
